,,
,,
defcase,21,
,objects,
,case,Journey21
,JourneyCode:,21
,HolidayType:,"Recreation,"
,Price:,1568
,NumberOfPersons:,2
,Region:,"Belgium,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"May,"
,Accommodation:,"TwoStars,"
,Hotel:,"Hotel Ostend, Belgium."
,,
,,
,,
defcase,22,
,objects,
,case,Journey22
,JourneyCode:,22
,HolidayType:,"Active,"
,Price:,798
,NumberOfPersons:,3
,Region:,"Belgium,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"June,"
,Accommodation:,"TwoStars,"
,Hotel:,"Hotel Ostend, Belgium."
,,
,,
,,
defcase,23,
,objects,
,case,Journey23
,JourneyCode:,23
,HolidayType:,"Recreation,"
,Price:,978
,NumberOfPersons:,3
,Region:,"Belgium,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Acces Hotel Mercure, Belgium."
,,
,,
,,
defcase,24,
,objects,
,case,Journey24
,JourneyCode:,24
,HolidayType:,"Recreation,"
,Price:,978
,NumberOfPersons:,2
,Region:,"Belgium,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"August,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Acces Hotel Mercure, Belgium."
,,
,,
,,
defcase,25,
,objects,
,case,Journey25
,JourneyCode:,25
,HolidayType:,"Active,"
,Price:,1448
,NumberOfPersons:,3
,Region:,"Belgium,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"September,"
,Accommodation:,"HolidayFlat,"
,Hotel:,"H.Flat, Belgium."
,,
,,
,,
defcase,26,
,objects,
,case,Journey26
,JourneyCode:,26
,HolidayType:,"Recreation,"
,Price:,1638
,NumberOfPersons:,4
,Region:,"Belgium,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"June,"
,Accommodation:,"HolidayFlat,"
,Hotel:,"H.Flat, Belgium."
,,
,,
,,
defcase,27,
,objects,
,case,Journey27
,JourneyCode:,27
,HolidayType:,"Recreation,"
,Price:,1079
,NumberOfPersons:,4
,Region:,"Belgium,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"HolidayFlat,"
,Hotel:,"H.Flat, Belgium."
,,
,,
,,
defcase,28,
,objects,
,case,Journey28
,JourneyCode:,28
,HolidayType:,"Bathing,"
,Price:,499
,NumberOfPersons:,4
,Region:,"Belgium,"
,Transportation:,"Car,"
,Duration:,3
,Season:,"August,"
,Accommodation:,"HolidayFlat,"
,Hotel:,"H.Flat, Belgium."
,,
,,
,,
defcase,29,
,objects,
,case,Journey29
,JourneyCode:,29
,HolidayType:,"Bathing,"
,Price:,399
,NumberOfPersons:,6
,Region:,"Belgium,"
,Transportation:,"Car,"
,Duration:,3
,Season:,"September,"
,Accommodation:,"HolidayFlat,"
,Hotel:,"H.Flat, Belgium."
,,
,,
,,
defcase,30,
,objects,
,case,Journey30
,JourneyCode:,30
,HolidayType:,"Recreation,"
,Price:,1928
,NumberOfPersons:,2
,Region:,"Belgium,"
,Transportation:,"Train,"
,Duration:,14
,Season:,"July,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Acces Hotel Mercure, Belgium."
,,
,,
,,
defcase,31,
,objects,
,case,Journey31
,JourneyCode:,31
,HolidayType:,"Bathing,"
,Price:,1598
,NumberOfPersons:,2
,Region:,"Bulgaria,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"June,"
,Accommodation:,"TwoStars,"
,Hotel:,"Hotel Amfibia, Sunny Beach."
,,
,,
,,
defcase,32,
,objects,
,case,Journey32
,JourneyCode:,32
,HolidayType:,"Bathing,"
,Price:,2043
,NumberOfPersons:,3
,Region:,"Bulgaria,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"July,"
,Accommodation:,"TwoStars,"
,Hotel:,"Hotel Hemus, Sunny Beach."
,,
,,
,,
defcase,33,
,objects,
,case,Journey33
,JourneyCode:,33
,HolidayType:,"Bathing,"
,Price:,1658
,NumberOfPersons:,4
,Region:,"Bulgaria,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"August,"
,Accommodation:,"TwoStars,"
,Hotel:,"Hotel Raliza, Albena."
,,
,,
,,
defcase,34,
,objects,
,case,Journey34
,JourneyCode:,34
,HolidayType:,"Bathing,"
,Price:,1558
,NumberOfPersons:,2
,Region:,"Bulgaria,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Phoenix, Sunny Beach."
,,
,,
,,
defcase,35,
,objects,
,case,Journey35
,JourneyCode:,35
,HolidayType:,"Active,"
,Price:,1718
,NumberOfPersons:,2
,Region:,"Bulgaria,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"June,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Nessebar, Sunny Beach."
,,
,,
,,
defcase,36,
,objects,
,case,Journey36
,JourneyCode:,36
,HolidayType:,"Bathing,"
,Price:,1383
,NumberOfPersons:,3
,Region:,"Bulgaria,"
,Transportation:,"Plane,"
,Duration:,7
,Season:,"August,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Gergana, Albena."
,,
,,
,,
defcase,37,
,objects,
,case,Journey37
,JourneyCode:,37
,HolidayType:,"Bathing,"
,Price:,3628
,NumberOfPersons:,4
,Region:,"Bulgaria,"
,Transportation:,"Plane,"
,Duration:,21
,Season:,"August,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Orlav, Albena."
,,
,,
,,
defcase,38,
,objects,
,case,Journey38
,JourneyCode:,38
,HolidayType:,"Active,"
,Price:,2739
,NumberOfPersons:,3
,Region:,"Bulgaria,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"July,"
,Accommodation:,"FourStars,"
,Hotel:,"Hotel Burgas, Sunny Beach."
,,
,,
,,
defcase,39,
,objects,
,case,Journey39
,JourneyCode:,39
,HolidayType:,"Bathing,"
,Price:,2399
,NumberOfPersons:,2
,Region:,"Bulgaria,"
,Transportation:,"Plane,"
,Duration:,14
,Season:,"September,"
,Accommodation:,"FourStars,"
,Hotel:,"Grandhotel Varna, Albena."
,,
,,
,,
defcase,40,
,objects,
,case,Journey40
,JourneyCode:,40
,HolidayType:,"Bathing,"
,Price:,2273
,NumberOfPersons:,3
,Region:,"Bornholm,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"August,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Bornholm.
,,
,,
,,
defcase,41,
,objects,
,case,Journey41
,JourneyCode:,41
,HolidayType:,"Bathing,"
,Price:,1729
,NumberOfPersons:,5
,Region:,"Bornholm,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Bornholm.
,,
,,
,,
defcase,42,
,objects,
,case,Journey42
,JourneyCode:,42
,HolidayType:,"Bathing,"
,Price:,1389
,NumberOfPersons:,4
,Region:,"Bornholm,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Bornholm.
,,
,,
,,
defcase,43,
,objects,
,case,Journey43
,JourneyCode:,43
,HolidayType:,"Recreation,"
,Price:,968
,NumberOfPersons:,6
,Region:,"Bornholm,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"April,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Bornholm.
,,
,,
,,
defcase,44,
,objects,
,case,Journey44
,JourneyCode:,44
,HolidayType:,"Recreation,"
,Price:,489
,NumberOfPersons:,6
,Region:,"Bornholm,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"May,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Bornholm.
,,
,,
,,
defcase,45,
,objects,
,case,Journey45
,JourneyCode:,45
,HolidayType:,"Recreation,"
,Price:,489
,NumberOfPersons:,6
,Region:,"Bornholm,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"September,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Bornholm.
,,
,,
,,
defcase,46,
,objects,
,case,Journey46
,JourneyCode:,46
,HolidayType:,"Bathing,"
,Price:,2838
,NumberOfPersons:,4
,Region:,"Fano,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"July,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Fano.
,,
,,
,,
defcase,47,
,objects,
,case,Journey47
,JourneyCode:,47
,HolidayType:,"Bathing,"
,Price:,1399
,NumberOfPersons:,6
,Region:,"Fano,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"August,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Fano.
,,
,,
,,
defcase,48,
,objects,
,case,Journey48
,JourneyCode:,48
,HolidayType:,"Recreation,"
,Price:,958
,NumberOfPersons:,6
,Region:,"Fano,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"September,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Fano.
,,
,,
,,
defcase,49,
,objects,
,case,Journey49
,JourneyCode:,49
,HolidayType:,"Recreation,"
,Price:,579
,NumberOfPersons:,3
,Region:,"Fano,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"June,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Romo.
,,
,,
,,
defcase,50,
,objects,
,case,Journey50
,JourneyCode:,50
,HolidayType:,"Recreation,"
,Price:,789
,NumberOfPersons:,5
,Region:,"Fano,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"May,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Romo.
,,
,,
,,
defcase,51,
,objects,
,case,Journey51
,JourneyCode:,51
,HolidayType:,"Recreation,"
,Price:,2839
,NumberOfPersons:,10
,Region:,"Fano,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Romo.
,,
,,
,,
defcase,52,
,objects,
,case,Journey52
,JourneyCode:,52
,HolidayType:,"Bathing,"
,Price:,629
,NumberOfPersons:,6
,Region:,"Lolland,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"August,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Lolland.
,,
,,
,,
defcase,53,
,objects,
,case,Journey53
,JourneyCode:,53
,HolidayType:,"Bathing,"
,Price:,1598
,NumberOfPersons:,4
,Region:,"Lolland,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"July,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Lolland.
,,
,,
,,
defcase,54,
,objects,
,case,Journey54
,JourneyCode:,54
,HolidayType:,"Recreation,"
,Price:,429
,NumberOfPersons:,8
,Region:,"Lolland,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"September,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Lolland.
,,
,,
,,
defcase,55,
,objects,
,case,Journey55
,JourneyCode:,55
,HolidayType:,"Recreation,"
,Price:,648
,NumberOfPersons:,2
,Region:,"Allgaeu,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"June,"
,Accommodation:,"TwoStars,"
,Hotel:,"Gasthaus Meier, Allgaeu."
,,
,,
,,
defcase,56,
,objects,
,case,Journey56
,JourneyCode:,56
,HolidayType:,"Wandering,"
,Price:,972
,NumberOfPersons:,4
,Region:,"Allgaeu,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"TwoStars,"
,Hotel:,"Gasthaus Alpenland, Allgaeu."
,,
,,
,,
defcase,57,
,objects,
,case,Journey57
,JourneyCode:,57
,HolidayType:,"Recreation,"
,Price:,1060
,NumberOfPersons:,3
,Region:,"Allgaeu,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"August,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Alpspitz, Allgaeu."
,,
,,
,,
defcase,58,
,objects,
,case,Journey58
,JourneyCode:,58
,HolidayType:,"Wandering,"
,Price:,2110
,NumberOfPersons:,3
,Region:,"Allgaeu,"
,Transportation:,"Train,"
,Duration:,14
,Season:,"July,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Alpspitz, Allgaeu."
,,
,,
,,
defcase,59,
,objects,
,case,Journey59
,JourneyCode:,59
,HolidayType:,"Active,"
,Price:,1835
,NumberOfPersons:,2
,Region:,"Allgaeu,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"June,"
,Accommodation:,"FiveStars,"
,Hotel:,"Hofgut Kuernach, Allgaeu."
,,
,,
,,
defcase,60,
,objects,
,case,Journey60
,JourneyCode:,60
,HolidayType:,"Wandering,"
,Price:,951
,NumberOfPersons:,2
,Region:,"Allgaeu,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"September,"
,Accommodation:,"FiveStars,"
,Hotel:,"Hofgut Kuernach, Allgaeu."
,,
,,
,,
defcase,61,
,objects,
,case,Journey61
,JourneyCode:,61
,HolidayType:,"Recreation,"
,Price:,794
,NumberOfPersons:,4
,Region:,"Allgaeu,"
,Transportation:,"Train,"
,Duration:,7
,Season:,"August,"
,Accommodation:,"HolidayFlat,"
,Hotel:,"H.Flat, Allgaeu."
,,
,,
,,
defcase,62,
,objects,
,case,Journey62
,JourneyCode:,62
,HolidayType:,"Active,"
,Price:,814
,NumberOfPersons:,6
,Region:,"Allgaeu,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"HolidayFlat,"
,Hotel:,"H.Flat, Allgaeu."
,,
,,
,,
defcase,63,
,objects,
,case,Journey63
,JourneyCode:,63
,HolidayType:,"Wandering,"
,Price:,1568
,NumberOfPersons:,4
,Region:,"Allgaeu,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"June,"
,Accommodation:,"HolidayFlat,"
,Hotel:,"H.Flat, Allgaeu."
,,
,,
,,
defcase,64,
,objects,
,case,Journey64
,JourneyCode:,64
,HolidayType:,"Wandering,"
,Price:,644
,NumberOfPersons:,4
,Region:,"Allgaeu,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"HolidayFlat,"
,Hotel:,"H.Flat, Allgaeu."
,,
,,
,,
defcase,65,
,objects,
,case,Journey65
,JourneyCode:,65
,HolidayType:,"Recreation,"
,Price:,648
,NumberOfPersons:,2
,Region:,"Alps,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"June,"
,Accommodation:,"TwoStars,"
,Hotel:,"Pension Blueml, Upper Bavaria."
,,
,,
,,
defcase,66,
,objects,
,case,Journey66
,JourneyCode:,66
,HolidayType:,"Wandering,"
,Price:,2232
,NumberOfPersons:,3
,Region:,"Alps,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"July,"
,Accommodation:,"TwoStars,"
,Hotel:,"Pension Blueml, Upper Bavaria."
,,
,,
,,
defcase,67,
,objects,
,case,Journey67
,JourneyCode:,67
,HolidayType:,"Recreation,"
,Price:,2082
,NumberOfPersons:,4
,Region:,"Alps,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"August,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Chiemgauer Hof, Upper Bavaria."
,,
,,
,,
defcase,68,
,objects,
,case,Journey68
,JourneyCode:,68
,HolidayType:,"Recreation,"
,Price:,5185
,NumberOfPersons:,3
,Region:,"Alps,"
,Transportation:,"Car,"
,Duration:,21
,Season:,"June,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Chiemgauer Hof, Upper Bavaria."
,,
,,
,,
defcase,69,
,objects,
,case,Journey69
,JourneyCode:,69
,HolidayType:,"Active,"
,Price:,2368
,NumberOfPersons:,2
,Region:,"Alps,"
,Transportation:,"Train,"
,Duration:,14
,Season:,"September,"
,Accommodation:,"ThreeStars,"
,Hotel:,"Hotel Chiemgauer Hof, Upper Bavaria."
,,
,,
,,
defcase,70,
,objects,
,case,Journey70
,JourneyCode:,70
,HolidayType:,"Recreation,"
,Price:,3758
,NumberOfPersons:,2
,Region:,"Alps,"
,Transportation:,"Car,"
,Duration:,21
,Season:,"July,"
,Accommodation:,"FourStars,"
,Hotel:,"Hotel Zur Post, Upper Bavaria."
,,
,,
,,
defcase,71,
,objects,
,case,Journey71
,JourneyCode:,71
,HolidayType:,"Recreation,"
,Price:,3135
,NumberOfPersons:,3
,Region:,"Alps,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"August,"
,Accommodation:,"FourStars,"
,Hotel:,"Hotel Zur Post, Upper Bavaria."
,,
,,
,,
defcase,72,
,objects,
,case,Journey72
,JourneyCode:,72
,HolidayType:,"Wandering,"
,Price:,3762
,NumberOfPersons:,4
,Region:,"Alps,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"July,"
,Accommodation:,"FourStars,"
,Hotel:,"Hotel Zur Post, Upper Bavaria."
,,
,,
,,
defcase,73,
,objects,
,case,Journey73
,JourneyCode:,73
,HolidayType:,"Recreation,"
,Price:,1254
,NumberOfPersons:,4
,Region:,"Alps,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"June,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Upper Bavaria.
,,
,,
,,
defcase,74,
,objects,
,case,Journey74
,JourneyCode:,74
,HolidayType:,"Recreation,"
,Price:,814
,NumberOfPersons:,6
,Region:,"Alps,"
,Transportation:,"Train,"
,Duration:,7
,Season:,"August,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Upper Bavaria.
,,
,,
,,
defcase,75,
,objects,
,case,Journey75
,JourneyCode:,75
,HolidayType:,"Recreation,"
,Price:,1361
,NumberOfPersons:,2
,Region:,"Bavaria,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"September,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Upper Bavaria.
,,
,,
,,
defcase,76,
,objects,
,case,Journey76
,JourneyCode:,76
,HolidayType:,"Recreation,"
,Price:,1618
,NumberOfPersons:,4
,Region:,"Bavaria,"
,Transportation:,"Car,"
,Duration:,14
,Season:,"May,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Upper Bavaria.
,,
,,
,,
defcase,77,
,objects,
,case,Journey77
,JourneyCode:,77
,HolidayType:,"Recreation,"
,Price:,1728
,NumberOfPersons:,2
,Region:,"Bavaria,"
,Transportation:,"Train,"
,Duration:,14
,Season:,"July,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Upper Bavaria.
,,
,,
,,
defcase,78,
,objects,
,case,Journey78
,JourneyCode:,78
,HolidayType:,"Wandering,"
,Price:,609
,NumberOfPersons:,3
,Region:,"Bavaria,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"June,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Upper Bavaria.
,,
,,
,,
defcase,79,
,objects,
,case,Journey79
,JourneyCode:,79
,HolidayType:,"Wandering,"
,Price:,1069
,NumberOfPersons:,6
,Region:,"Bavaria,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"August,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Upper Bavaria.
,,
,,
,,
defcase,80,
,objects,
,case,Journey80
,JourneyCode:,80
,HolidayType:,"Wandering,"
,Price:,684
,NumberOfPersons:,4
,Region:,"Bavaria,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"September,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Upper Bavaria.
,,
,,
,,
defcase,81,
,objects,
,case,Journey81
,JourneyCode:,81
,HolidayType:,"Active,"
,Price:,1328
,NumberOfPersons:,4
,Region:,"Bavaria,"
,Transportation:,"Train,"
,Duration:,14
,Season:,"May,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Upper Bavaria.
,,
,,
,,
defcase,82,
,objects,
,case,Journey82
,JourneyCode:,82
,HolidayType:,"Active,"
,Price:,779
,NumberOfPersons:,2
,Region:,"Bavaria,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"June,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Upper Bavaria.
,,
,,
,,
defcase,83,
,objects,
,case,Journey83
,JourneyCode:,83
,HolidayType:,"Active,"
,Price:,1639
,NumberOfPersons:,5
,Region:,"Bavaria,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Upper Bavaria.
,,
,,
,,
defcase,84,
,objects,
,case,Journey84
,JourneyCode:,84
,HolidayType:,"Wandering,"
,Price:,944
,NumberOfPersons:,8
,Region:,"Bavaria,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"August,"
,Accommodation:,"HolidayFlat,"
,Hotel:,H.Flat Upper Bavaria.
,,
,,
,,
defcase,85,
,objects,
,case,Journey85
,JourneyCode:,85
,HolidayType:,"Wandering,"
,Price:,758
,NumberOfPersons:,2
,Region:,"ErzGebirge,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"June,"
,Accommodation:,"TwoStars,"
,Hotel:,"Wolfsgruener Schloss, Erz Gebirge."
,,
,,
,,
defcase,86,
,objects,
,case,Journey86
,JourneyCode:,86
,HolidayType:,"Wandering,"
,Price:,758
,NumberOfPersons:,3
,Region:,"ErzGebirge,"
,Transportation:,"Car,"
,Duration:,7
,Season:,"July,"
,Accommodation:,"TwoStars,"
,Hotel:,"Wolfsgruener Schloss, Erz Gebirge."
,,
,,
,,
defcase,87,
,objects,
,case,Journey87
,JourneyCode:,87
,HolidayType:,"Recreation,"
